,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
748,D,1.2162162162162162,1.7567567567567568,W,L,D,L,L,D,-0.16216216216216214,0.6216216216216216,0.0,1.0
749,A,1.162162162162162,2.1621621621621623,L,W,W,W,L,W,-0.2702702702702703,1.3243243243243243,-0.13513513513513514,-2.0
750,H,1.8947368421052633,1.6052631578947367,W,W,W,W,L,L,0.8157894736842105,0.5263157894736842,0.13157894736842105,-9.0
751,A,1.0526315789473684,1.1052631578947372,L,D,W,L,W,D,-0.3947368421052632,-0.4736842105263158,-0.05263157894736842,13.0
752,H,2.3684210526315788,0.631578947368421,W,W,W,L,L,W,1.263157894736842,-0.9473684210526316,0.3157894736842105,-7.0
753,A,0.8947368421052632,2.1842105263157894,L,L,D,W,W,L,-0.9736842105263158,1.4210526315789471,-0.21052631578947367,17.0
754,D,1.131578947368421,1.1842105263157894,L,L,W,W,D,W,-0.3947368421052632,-0.3157894736842105,-0.10526315789473684,-15.0
755,H,1.9210526315789476,0.7368421052631579,W,D,W,L,L,D,0.8684210526315791,-0.6052631578947368,0.15789473684210525,-12.0
756,H,1.7368421052631582,1.0789473684210529,D,L,L,W,L,L,0.6052631578947368,-0.2894736842105263,-0.07894736842105263,-10.0
757,A,1.2105263157894737,1.0789473684210529,D,W,L,L,D,D,-0.15789473684210525,-0.42105263157894735,0.02631578947368421,-3.0
758,H,1.0,1.1842105263157894,W,W,D,L,L,D,-0.6842105263157895,-0.18421052631578946,0.2368421052631579,-2.0
759,A,1.0526315789473684,1.973684210526316,L,L,L,W,W,W,-0.6052631578947368,0.9473684210526316,-0.2894736842105263,9.0
790,H,0.75,0.0,L,L,W,L,L,L,-1.0,-1.0,0.75,-4.0
791,H,0.25,1.75,D,L,L,D,W,W,-1.0,0.5,-1.5,10.0
792,A,1.0,1.0,L,D,W,D,L,W,-0.25,0.25,0.0,5.0
793,A,0.75,1.5,L,W,L,W,W,L,-0.25,0.5,-0.75,11.0
794,H,1.75,1.75,W,D,W,W,W,D,0.75,1.25,0.0,-1.0
795,A,1.25,1.25,D,W,D,D,W,D,0.25,0.5,0.0,-9.0
796,D,1.0,2.25,D,W,L,W,W,W,0.0,2.5,-1.25,7.0
797,H,1.0,0.0,D,L,W,L,L,L,0.0,-1.5,1.0,2.0
798,A,1.0,0.75,W,L,D,W,L,L,-0.5,0.0,0.25,-5.0
799,H,0.0,1.75,L,L,L,D,W,W,-2.0,1.0,-1.75,-9.0
800,H,0.0,0.8,L,L,L,W,D,L,-1.4,-0.4,-0.8,-11.0
801,A,0.0,1.0,L,L,L,L,D,W,-1.4,-0.2,-1.0,6.0
802,D,1.4,0.6,L,D,W,L,L,W,0.4,-0.4,0.8,8.0
803,D,1.4,1.4,L,W,W,W,D,L,0.0,0.2,0.0,-12.0
804,H,1.2,1.0,W,W,L,D,D,W,0.2,0.0,0.2,7.0
805,D,1.4,0.8,W,D,L,L,W,L,0.8,-0.6,0.6,-13.0
806,A,1.6,2.0,W,D,W,W,W,D,0.8,1.6,-0.4,14.0
807,D,1.4,0.6,L,D,W,W,L,L,0.0,-1.2,0.8,-1.0
808,D,1.8,1.2,W,W,W,W,L,L,0.6,-0.2,0.6,-4.0
809,H,2.0,0.8,D,W,W,L,L,D,2.0,-0.8,1.2,-1.0
810,D,1.3333333333333333,1.3333333333333333,D,W,D,D,L,D,0.16666666666666666,0.3333333333333333,0.0,-4.0
811,H,0.6666666666666666,0.5,L,L,L,W,L,L,-1.3333333333333333,-1.0,0.16666666666666666,-2.0
812,A,0.6666666666666666,1.3333333333333333,D,L,L,D,L,W,-0.3333333333333333,0.0,-0.6666666666666666,8.0
813,H,2.1666666666666665,0.0,W,W,W,L,L,L,2.333333333333333,-1.3333333333333333,2.1666666666666665,-11.0
814,A,1.3333333333333333,2.1666666666666665,W,L,D,W,D,W,0.0,2.333333333333333,-0.8333333333333334,2.0
815,A,0.8333333333333334,1.6666666666666667,L,D,D,D,W,W,-0.16666666666666666,0.5,-0.8333333333333334,12.0
816,A,0.8333333333333334,1.3333333333333333,D,L,W,L,W,D,-0.5,-0.3333333333333333,-0.5,-2.0
817,A,0.6666666666666666,1.3333333333333333,D,W,L,D,W,D,-1.0,0.6666666666666666,-0.6666666666666666,9.0
818,H,0.6666666666666666,1.5,L,W,D,W,W,W,-0.5,0.3333333333333333,-0.8333333333333334,0.0
819,H,1.1666666666666667,1.3333333333333333,D,W,L,D,L,D,-0.16666666666666666,0.0,-0.16666666666666666,-5.0
820,D,0.42857142857142855,0.5714285714285714,L,W,L,L,D,L,-1.0,-0.42857142857142855,-0.14285714285714285,-3.0
821,A,1.8571428571428568,2.2857142857142856,W,D,W,W,W,W,1.0,2.7142857142857144,0.0,-2.0
822,A,1.2857142857142858,1.5714285714285714,D,D,L,W,D,W,0.2857142857142857,0.7142857142857143,-0.2857142857142857,18.0
823,H,2.2857142857142856,0.0,W,W,D,L,L,L,2.142857142857143,-1.8571428571428568,1.8571428571428568,-8.0
824,H,0.7142857142857143,1.1428571428571428,L,L,D,L,W,L,-0.7142857142857143,-0.14285714285714285,-0.2857142857142857,5.0
825,D,1.1428571428571428,1.5714285714285714,L,D,L,W,L,W,-0.2857142857142857,-0.14285714285714285,-0.7142857142857143,-7.0
826,H,0.5714285714285714,0.7142857142857143,L,D,W,L,D,L,-1.0,-0.5714285714285714,0.0,-4.0
827,H,1.4285714285714286,1.0,W,D,W,W,L,W,0.14285714285714285,-0.2857142857142857,0.0,-15.0
828,A,1.0,1.2857142857142858,W,L,L,D,D,W,-1.0,0.14285714285714285,-0.2857142857142857,-9.0
829,D,1.2857142857142858,1.5714285714285714,L,W,W,W,D,L,0.14285714285714285,0.14285714285714285,-0.14285714285714285,16.0
830,D,1.5,0.875,W,D,D,W,L,D,0.25,-0.75,0.25,5.0
831,H,0.0,1.625,L,L,L,L,W,D,-2.125,0.75,-1.25,13.0
832,D,1.5,2.375,D,W,D,W,W,W,0.125,2.375,-0.625,-2.0
833,H,2.375,1.0,W,W,W,W,L,L,2.5,-0.5,1.25,-10.0
834,H,0.625,1.125,L,L,D,L,D,D,-0.625,-0.25,0.125,-5.0
835,H,1.75,0.5,W,W,D,D,L,W,1.125,-0.875,0.875,-7.0
836,H,1.5,1.625,D,W,L,W,W,D,-0.125,0.375,-0.25,12.0
837,D,0.875,0.875,L,W,L,L,W,L,-0.5,-1.0,0.5,13.0
838,D,1.0,1.25,L,L,W,D,L,W,-0.25,0.125,-0.75,-12.0
839,D,0.625,1.125,D,L,D,D,L,D,-0.375,-0.25,-0.125,2.0
840,A,0.8888888888888888,0.8888888888888888,D,W,L,D,L,W,-0.6666666666666666,-0.4444444444444444,0.1111111111111111,-9.0
841,H,1.4444444444444444,1.6666666666666667,L,L,W,W,D,W,0.5555555555555556,0.0,-0.3333333333333333,-16.0
842,H,1.0,2.2222222222222223,L,L,D,D,W,W,-0.4444444444444444,2.1111111111111107,-1.0,14.0
843,H,2.4444444444444446,1.4444444444444444,W,W,W,D,W,D,2.7777777777777777,0.2222222222222222,0.6666666666666666,-13.0
844,H,1.2222222222222223,0.3333333333333333,D,D,L,W,L,L,0.1111111111111111,-1.7777777777777777,0.5555555555555556,6.0
845,H,1.0,1.1111111111111112,D,L,L,D,D,L,-0.2222222222222222,-0.2222222222222222,0.1111111111111111,-2.0
846,A,0.8888888888888888,0.4444444444444444,L,W,L,L,D,L,-1.0,-0.8888888888888888,0.0,4.0
847,A,0.8888888888888888,0.6666666666666666,W,L,L,D,D,L,-0.3333333333333333,-0.3333333333333333,0.1111111111111111,3.0
848,A,0.8888888888888888,1.4444444444444444,D,L,W,L,W,W,-0.8888888888888888,0.2222222222222222,-0.6666666666666666,2.0
849,H,1.8888888888888888,1.4444444444444444,W,W,W,D,D,W,1.1111111111111112,0.1111111111111111,0.7777777777777778,-2.0
850,H,1.6,0.8,W,L,W,L,W,L,0.5,-0.4,0.6,-10.0
851,A,0.7,1.6,W,L,D,W,L,L,-0.7,0.7,0.0,8.0
852,D,0.3,0.8,L,W,L,L,D,W,-1.7,-0.9,-0.2,3.0
853,H,1.3,1.2,L,D,D,W,L,L,-0.2,-0.3,0.1,-16.0
854,H,2.0,2.0,L,D,W,W,W,W,1.8,1.3,-0.3,4.0
855,A,1.5,0.8,L,W,D,L,L,W,-0.2,-1.0,0.4,4.0
856,A,1.0,2.5,L,D,D,W,W,W,-0.3,2.8,-1.2,7.0
857,D,1.1,1.2,W,D,L,W,D,L,-0.1,-0.1,0.0,12.0
858,H,0.9,0.8,W,D,D,L,D,L,-0.2,-1.1,0.2,5.0
859,H,1.3,1.4,L,D,W,W,D,D,-0.1,0.2,-0.2,-4.0
860,H,1.0909090909090908,0.9090909090909092,L,W,L,L,L,D,-0.5454545454545454,-0.3636363636363637,0.18181818181818185,10.0
861,A,1.2727272727272727,0.6363636363636364,L,W,D,L,W,L,0.09090909090909093,-0.7272727272727273,0.09090909090909093,11.0
862,A,1.181818181818182,1.4545454545454546,D,W,D,W,L,D,-0.09090909090909093,0.0,-0.2727272727272727,-8.0
863,D,1.0,1.0909090909090908,W,L,L,W,W,D,-0.8181818181818182,0.0,-0.18181818181818185,1.0
864,A,0.7272727272727273,1.0909090909090908,L,L,W,D,W,D,-0.4545454545454545,-0.09090909090909093,-0.4545454545454545,-5.0
865,A,0.8181818181818182,1.4545454545454546,D,L,D,W,L,D,-0.8181818181818182,0.09090909090909093,-0.2727272727272727,7.0
866,H,1.7272727272727273,2.090909090909091,W,W,L,W,L,D,0.7272727272727273,1.7272727272727273,-0.09090909090909093,-5.0
867,H,0.7272727272727273,1.3636363636363635,L,L,D,L,L,W,-1.181818181818182,-0.2727272727272727,-0.2727272727272727,-10.0
868,H,2.5454545454545454,1.7272727272727273,W,W,W,W,W,L,2.636363636363636,0.5454545454545454,0.2727272727272727,-2.0
869,H,1.818181818181818,0.3636363636363637,L,W,W,D,L,W,1.0909090909090908,-1.5454545454545454,0.7272727272727273,-12.0
870,H,1.5833333333333333,1.9166666666666667,L,W,W,W,L,W,0.3333333333333333,1.0833333333333333,-0.25,3.0
871,H,0.8333333333333334,1.25,W,L,W,W,L,W,-0.5833333333333334,-0.4166666666666667,0.08333333333333333,-11.0
872,H,1.5833333333333333,0.6666666666666666,W,W,L,L,L,L,0.08333333333333333,-0.5,0.5833333333333334,1.0
873,D,0.3333333333333333,0.9166666666666666,L,D,L,W,L,L,-1.5,-1.0,0.0,7.0
874,A,1.0833333333333333,2.583333333333333,D,W,W,W,W,W,0.0,2.583333333333333,-0.5,9.0
875,H,1.5833333333333333,1.0833333333333333,W,W,L,L,D,W,0.3333333333333333,-0.16666666666666666,0.25,-4.0
876,H,1.9166666666666667,1.1666666666666667,L,W,L,L,L,W,1.5,0.0,0.16666666666666666,-14.0
877,A,0.8333333333333334,1.8333333333333333,L,L,L,W,W,W,-0.4166666666666667,0.75,-0.5833333333333334,9.0
878,H,1.25,0.75,L,L,L,L,D,L,-0.3333333333333333,-1.0,-0.08333333333333333,6.0
879,D,1.25,1.0,W,D,W,D,W,L,0.0,-0.75,0.08333333333333333,7.0
880,D,0.6923076923076923,1.0,L,L,D,L,D,W,-1.0769230769230769,-0.15384615384615385,-0.4615384615384616,-1.0
881,H,0.38461538461538464,1.0,D,L,D,D,D,W,-1.3846153846153846,-0.6923076923076923,0.0,1.0
882,D,1.6923076923076923,1.9230769230769231,W,W,W,W,W,W,0.5384615384615384,1.0,-0.15384615384615385,3.0
883,H,2.0,1.2307692307692308,W,L,W,D,W,D,1.6153846153846154,0.0,-0.15384615384615385,-14.0
884,A,1.0769230769230769,1.3846153846153846,L,L,L,W,L,L,-0.2307692307692308,-0.15384615384615385,-0.15384615384615385,3.0
885,D,0.6153846153846154,1.0,L,L,L,W,W,L,-0.6153846153846154,-0.2307692307692308,-0.4615384615384616,6.0
886,D,1.7692307692307692,0.7692307692307693,L,W,L,L,L,L,0.8461538461538461,-0.6923076923076923,0.6153846153846154,-8.0
887,A,1.6923076923076923,1.6923076923076923,W,W,W,W,L,W,0.2307692307692308,0.4615384615384616,0.07692307692307693,11.0
888,A,1.1538461538461535,2.6153846153846154,L,W,L,W,W,W,-0.6923076923076923,2.5384615384615383,-0.6923076923076923,17.0
889,H,1.0,0.9230769230769232,L,L,D,D,W,L,-0.38461538461538464,-0.9230769230769232,0.0,1.0
890,D,1.1428571428571428,0.5714285714285714,L,D,W,W,D,L,-0.07142857142857142,-1.2142857142857142,0.21428571428571427,6.0
891,H,1.0,1.7142857142857142,D,L,D,D,L,W,-0.14285714285714285,0.7857142857142857,0.07142857142857142,10.0
892,A,1.5,2.071428571428572,W,W,L,W,W,L,0.07142857142857142,1.5714285714285714,-0.21428571428571427,11.0
893,D,0.7857142857142857,1.0,D,L,L,L,L,L,-0.6428571428571429,-0.42857142857142855,-0.14285714285714285,-10.0
894,H,1.7857142857142858,1.0714285714285714,W,W,L,L,L,W,0.5,-0.7142857142857143,0.42857142857142855,-15.0
895,A,1.0,1.5714285714285714,D,W,W,L,W,W,-0.21428571428571427,0.14285714285714285,0.07142857142857142,-7.0
896,H,1.8571428571428568,0.6428571428571429,D,W,W,D,L,L,0.9285714285714286,-0.5714285714285714,0.8571428571428571,-14.0
897,H,0.8571428571428571,0.7142857142857143,L,D,W,D,L,L,-1.0714285714285714,-1.0,0.14285714285714285,-4.0
898,H,2.642857142857143,1.1428571428571428,W,W,W,W,L,L,2.4285714285714284,-0.14285714285714285,0.5714285714285714,-5.0
899,A,0.9285714285714286,1.6428571428571428,L,D,D,D,W,W,-0.7142857142857143,0.5,-0.35714285714285715,9.0
900,A,1.8666666666666667,2.1333333333333333,W,W,W,W,W,W,0.8,1.6,0.0,-1.0
901,A,1.1333333333333333,1.7333333333333334,D,L,D,W,D,W,-0.06666666666666668,0.6666666666666666,-0.4666666666666667,16.0
902,H,1.9333333333333331,1.0,W,D,W,D,L,L,0.9333333333333332,-0.4,0.8,-19.0
903,H,1.0,1.0,W,L,D,L,L,L,-0.7333333333333333,-1.0,0.26666666666666666,-13.0
904,H,1.1333333333333333,1.6666666666666667,W,D,L,W,L,W,-0.06666666666666668,0.2,-0.26666666666666666,-4.0
905,H,0.8666666666666667,0.6,L,L,D,L,D,L,-0.8666666666666667,-0.6,0.26666666666666666,-2.0
906,D,1.4,1.6,L,W,W,L,D,L,-0.06666666666666668,0.6666666666666666,0.13333333333333333,15.0
907,D,0.8,0.6,D,D,L,D,W,D,-0.6,-1.1333333333333333,-0.26666666666666666,-4.0
908,D,0.9333333333333332,1.0666666666666669,L,D,W,L,W,L,-0.26666666666666666,-0.2,0.2,1.0
909,H,2.6666666666666665,0.6666666666666666,W,W,W,L,D,L,2.333333333333333,-1.2,0.8666666666666667,-8.0
910,H,1.5625,1.375,L,W,L,D,L,W,0.125,-0.0625,0.125,-1.0
911,D,0.625,0.9375,D,D,W,D,L,D,-1.0625,-0.25,-0.125,5.0
912,H,0.9375,1.0625,L,L,L,L,D,L,-1.0625,-0.3125,-0.125,0.0
913,A,0.9375,1.25,L,D,L,W,W,D,-0.5,0.0,-0.4375,8.0
914,H,0.5625,0.8125,L,L,D,D,D,D,-0.625,-0.5625,-0.125,5.0
915,H,1.5625,1.0,D,L,D,W,L,L,0.625,-0.75,0.0,-11.0
916,H,0.625,2.0,L,L,D,W,W,D,-1.1875,1.0,-0.75,10.0
917,D,1.8125,1.125,W,W,D,W,W,L,0.875,-0.5625,0.1875,-3.0
918,A,2.1875,2.6875,W,W,W,W,W,W,1.625,2.25,-0.1875,3.0
919,D,1.0625,1.75,D,L,W,L,W,W,-0.1875,0.625,-0.3125,3.0
920,H,1.6470588235294117,0.9411764705882352,W,L,W,L,W,L,0.17647058823529413,-0.9411764705882352,0.29411764705882354,3.0
921,H,0.6470588235294118,1.2941176470588236,D,D,D,L,D,L,-1.0,-0.1176470588235294,0.0,-3.0
922,A,1.0588235294117647,1.8823529411764703,W,L,L,L,W,W,-0.8823529411764706,0.8823529411764706,-0.4117647058823529,19.0
923,D,1.7647058823529411,0.7647058823529411,D,W,W,L,D,D,0.8235294117647058,-0.5882352941176471,0.4705882352941176,-6.0
924,H,2.0588235294117645,0.9411764705882352,L,W,W,D,D,L,1.4705882352941178,-0.2352941176470588,0.35294117647058826,-3.0
925,A,0.8823529411764706,1.1176470588235294,L,L,D,D,W,W,-0.5294117647058824,-0.5294117647058824,-0.4117647058823529,13.0
926,A,1.0588235294117647,1.3529411764705883,D,D,L,W,W,W,-0.17647058823529413,0.05882352941176471,-0.29411764705882354,-4.0
927,A,0.7058823529411765,2.7058823529411766,W,L,L,W,W,W,-0.5294117647058824,2.176470588235294,-0.6470588235294118,12.0
928,H,1.6470588235294117,1.0,W,D,L,L,L,D,0.8235294117647058,-0.4117647058823529,0.17647058823529413,-18.0
929,D,0.7647058823529411,1.7058823529411764,W,L,L,D,L,W,-1.0588235294117647,0.5882352941176471,-0.35294117647058826,6.0
930,H,1.6666666666666667,0.8333333333333334,D,D,L,L,L,L,0.5555555555555556,-0.5555555555555556,0.3888888888888889,-15.0
931,D,0.9444444444444444,1.7222222222222223,L,L,L,W,W,L,-0.5,0.2222222222222222,-0.4444444444444444,4.0
932,H,1.9444444444444444,1.0,W,L,W,L,D,D,0.9444444444444444,-0.3333333333333333,0.2777777777777778,-7.0
933,A,1.4444444444444444,0.7777777777777778,W,W,W,W,D,D,0.2222222222222222,-0.8888888888888888,0.2222222222222222,-2.0
934,H,2.7222222222222223,1.7222222222222223,W,W,W,W,W,D,2.2777777777777777,0.8888888888888888,0.3888888888888889,1.0
935,A,0.8888888888888888,0.7777777777777778,L,L,W,D,W,L,-0.9444444444444444,-1.0,-0.1111111111111111,2.0
936,A,1.2222222222222223,1.0,L,L,D,L,W,L,-0.16666666666666666,-0.9444444444444444,0.05555555555555555,-3.0
937,A,0.8888888888888888,1.7222222222222223,L,D,D,D,D,W,-0.2777777777777778,0.7777777777777778,-0.3333333333333333,5.0
938,A,0.7777777777777778,2.1111111111111107,D,L,D,W,L,W,-0.5555555555555556,1.4444444444444444,-0.4444444444444444,4.0
939,H,1.2222222222222223,0.6666666666666666,W,D,W,L,W,L,-0.4444444444444444,-0.7222222222222222,0.3333333333333333,-8.0
940,D,1.7368421052631582,1.7894736842105263,W,D,D,W,D,D,0.5789473684210527,0.9473684210526316,-0.15789473684210525,1.0
941,H,0.9473684210526316,1.1578947368421053,D,L,L,L,L,L,-0.4736842105263158,-0.3157894736842105,0.05263157894736842,3.0
942,A,1.6842105263157894,1.631578947368421,D,W,W,L,W,W,0.21052631578947367,0.6842105263157895,0.15789473684210525,14.0
943,D,1.3157894736842106,2.0,W,W,D,W,W,L,-0.3157894736842105,0.9473684210526316,0.05263157894736842,6.0
944,D,1.368421052631579,2.1578947368421053,L,W,W,W,W,L,0.05263157894736842,1.4210526315789471,0.0,6.0
945,H,2.736842105263158,0.8421052631578947,W,W,W,L,L,D,2.3157894736842106,-0.4736842105263158,0.6842105263157895,-6.0
946,D,0.9473684210526316,1.1052631578947372,L,L,D,W,L,W,-0.3684210526315789,-0.7368421052631579,-0.21052631578947367,-12.0
947,H,0.8421052631578947,0.7368421052631579,L,L,L,L,D,L,-1.0526315789473684,-0.5789473684210527,0.0,3.0
948,D,0.631578947368421,0.8947368421052632,L,L,W,W,W,D,-0.7894736842105263,-0.6842105263157895,-0.3157894736842105,1.0
949,A,0.8947368421052632,0.7894736842105263,W,D,W,L,L,L,-0.7894736842105263,-0.5789473684210527,0.3157894736842105,-9.0
950,D,0.8,0.85,L,L,L,L,W,D,-0.65,-0.8,-0.25,-2.0
951,H,1.95,1.05,D,W,W,W,D,L,0.9,-0.4,0.3,-19.0
952,D,1.1,0.95,D,W,L,W,L,L,-0.7,-0.9,0.05,7.0
953,H,1.75,0.65,D,W,D,D,L,L,0.9,-0.75,0.25,-11.0
954,D,2.1,1.6,D,W,W,L,D,W,1.35,0.05,0.15,-10.0
955,H,1.7,0.95,W,L,W,D,L,L,0.8,-0.35,0.35,-6.0
956,H,1.1,1.35,L,L,L,D,L,W,-0.35,0.05,-0.45,5.0
957,D,0.7,1.3,L,L,D,D,W,W,-0.65,-0.3,-0.45,3.0
958,A,0.9,2.75,W,L,L,W,W,W,-0.5,2.4,-0.6,17.0
959,A,0.9,1.7,D,W,W,D,W,D,-0.65,0.55,0.15,9.0
960,H,0.8095238095238095,1.2857142857142858,D,L,L,D,D,W,-0.6190476190476191,-0.2857142857142857,-0.3333333333333333,2.0
961,H,2.0,0.9523809523809524,W,D,W,D,W,L,0.9523809523809524,-0.8571428571428571,0.2857142857142857,-12.0
962,D,1.0952380952380951,1.5714285714285714,D,D,W,D,L,D,-0.6666666666666666,0.047619047619047616,0.0,4.0
963,H,1.809523809523809,1.2857142857142858,W,D,W,L,D,L,1.0952380952380951,0.0,0.09523809523809523,-8.0
964,D,2.0476190476190474,0.9047619047619048,D,D,W,L,D,L,1.2857142857142858,-0.4761904761904762,0.2857142857142857,-2.0
965,D,0.8571428571428571,1.0,L,W,L,L,W,D,-0.5238095238095238,-0.4761904761904762,-0.047619047619047616,0.0
966,A,1.1904761904761905,0.6190476190476191,W,L,L,L,D,L,-0.2857142857142857,-0.9523809523809524,-0.047619047619047616,2.0
