,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,HTGD,ATGD,DiffFormPts,DiffLP,FTR
5314,-0.1497437061837248,-0.605486129376925,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,-0.1355025200391329,-0.6003413079304066,0.3,-1.2645744012479565,A
5315,0.9110645243140791,-0.3919759200816533,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1.1724913405824409,-0.4547776916685164,0.4,1.2637717516756,H
5316,-0.9983902905819677,0.24855470780416083,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,-0.8621657759400072,0.5641676221647154,-0.7,1.7234710522071557,A
5317,0.06241793991583617,0.03504449850888962,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,-0.2808351712193078,0.41860400590282504,-0.2,-0.11532614991906727,D
5318,1.3353878165132005,1.7431261728710616,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.027158689402266,2.3109310173073982,0.3,0.22944832547959954,D
5319,-2.0591985210797716,-1.459526966558011,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,-1.5888290318408815,-1.0370321567160774,-0.3,0.11452350034671058,H
5320,-0.5740669983828462,-0.023185558571639113,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,-0.5186522367868667,-0.2827479633590098,0.0,-0.575025450450623,A
5321,0.19742989652464726,1.1414155830389325,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0.14195072312301912,0.9082270787837285,-0.3636363636363637,0.6891476260111552,D
5322,1.5475494626127615,-0.9936865099137822,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2.1237596028526764,-0.94440076454942,0.4545454545454545,-2.0690481771781792,H
5323,-1.5384381170172134,-0.4113859391084965,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,-1.3113757886787296,-0.41507852359709174,-0.5454545454545454,0.6891476260111552,D
5324,-0.1883185509290988,1.52961596357579,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.009830131141041972,1.3052187594979747,-0.6363636363636364,0.5742228008782663,A
5325,-0.1883185509290988,1.1414155830389325,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,-0.2544110528229124,1.1728881992598927,-0.3636363636363637,0.9189972762769331,H
5326,0.004555672797774002,0.9473153927705041,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,-0.3865316448048894,0.37890483783140044,0.09090909090909093,-0.11532614991906727,A
5327,-0.1883185509290988,-1.5759870807190683,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0.009830131141041972,-1.076731324787502,0.09090909090909093,-0.575025450450623,H
5328,0.004555672797774002,-1.1877867001822109,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.4061919070869734,-1.3413924452636663,0.3636363636363637,-1.4944240515137344,H
5329,0.5831783439783943,-1.9641874612559251,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1.066794866996859,-1.076731324787502,1.0,-1.3794992263808454,H
5330,-1.2812724853813824,-1.4951120014405561,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,-1.4434963806607066,-1.2311169783985978,-0.3333333333333333,0.5742228008782663,A
5331,1.1939467191134934,0.10621456827397986,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0.49427230174162484,-0.018086842882845695,0.25,-0.689950275583512,H
5332,1.0171453473638596,-0.2496357805514723,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.857603929692062,-0.5032988970891464,0.16666666666666666,-1.0347247509821786,H
5333,-1.1044711136317482,-0.4275609549641989,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,-0.9590542100601237,-0.3819958835375713,-0.25,1.378696576808489,H
5334,-0.39726562663321247,-0.7834113037896513,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.3535014968093952,-0.7459049241922969,0.5,0.9189972762769331,H
5335,-1.6348752288806503,0.28413974268670644,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,-1.4434963806607066,0.5884282248750303,-0.5833333333333334,1.033922101409822,A
5336,0.8403439756142258,0.10621456827397986,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0.857603929692062,0.46712521132345514,0.08333333333333333,0.11452350034671058,D
5337,1.724350834362395,0.8179152659248852,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1.5842671855929362,1.1949432926329064,0.3333333333333333,-0.2302509750519562,D
5338,-1.9884779723799184,1.7075411379885157,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,-1.2012752953604153,2.044064387493933,-0.8333333333333334,1.7234710522071557,D
5339,0.30993986036532384,0.10621456827397986,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.009830131141041972,0.1032161706687295,0.16666666666666666,-0.4601006253177341,A
5340,-0.9004695308437091,-0.7697247519117488,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.7727302982906689,-0.8018909304468701,0.0,-2.183973002311068,H
5341,0.07873806653887924,-1.9193951096555188,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.4570075193877339,-1.1378069679743092,0.3076923076923077,-0.689950275583512,H
5342,1.5475494626127615,0.05146836076237198,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1.9103340311894825,-0.13005885539199205,0.38461538461538464,-0.4601006253177341,A
5343,-1.0636707970741404,1.365377341040966,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,-0.9963189924140148,0.541773219662886,-0.4615384615384616,0.11452350034671058,A
5344,0.568341865230173,-0.11277026177245214,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.6805962135110799,-0.24203086790113837,0.07692307692307693,-0.2302509750519562,A
5345,-0.5740669983828462,-1.4266792420510461,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,-0.43734725710564987,-1.473723005501748,0.2307692307692308,-1.3794992263808454,D
