,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
6047,H,1.1714285714285717,1.1714285714285717,L,D,D,L,W,L,0.14285714285714285,-0.4571428571428571,-0.08571428571428573,-9.0
6048,H,0.8285714285714286,1.1142857142857143,D,W,L,D,D,W,-0.7428571428571429,-0.2,-0.028571428571428567,5.0
6049,D,1.3428571428571427,0.8857142857142857,L,L,D,D,W,L,-0.2857142857142857,-0.5142857142857142,-0.057142857142857134,-7.0
6050,H,1.2222222222222223,0.4444444444444444,W,L,W,L,L,L,-0.16666666666666666,-1.2222222222222223,0.19444444444444445,3.0
6051,A,1.1388888888888888,1.6388888888888888,D,L,L,W,W,D,-0.3055555555555556,0.4722222222222222,-0.19444444444444445,1.0
6052,D,1.6666666666666667,2.1111111111111107,D,W,W,W,D,W,0.3333333333333333,0.8333333333333334,-0.08333333333333333,-10.0
6053,H,1.5,1.7777777777777777,W,D,W,W,D,W,0.3333333333333333,0.8888888888888888,-0.08333333333333333,5.0
6054,H,1.1111111111111112,1.5277777777777777,L,L,W,L,D,W,-0.4166666666666667,0.3055555555555556,-0.08333333333333333,2.0
6055,D,1.3333333333333333,1.9166666666666667,D,W,L,D,W,W,0.19444444444444445,1.0833333333333333,-0.1111111111111111,-4.0
6056,D,0.4444444444444444,0.8333333333333334,L,L,L,D,D,W,-1.2222222222222223,-0.7222222222222222,-0.1388888888888889,2.0
6057,D,1.1388888888888888,1.1388888888888888,L,L,W,D,L,L,-0.5277777777777778,-0.3055555555555556,0.027777777777777776,7.0
6058,H,1.0833333333333333,1.3055555555555556,L,D,D,L,L,L,-0.25,-0.3888888888888889,0.05555555555555555,1.0
6059,H,2.1111111111111107,1.2222222222222223,W,D,W,W,L,D,0.8333333333333334,0.16666666666666666,0.19444444444444445,3.0
6060,A,0.8378378378378378,1.7027027027027026,L,L,L,W,D,W,-0.7297297297297297,0.35135135135135137,-0.1891891891891892,16.0
6061,H,0.945945945945946,1.2972972972972974,W,D,D,L,D,W,-0.4594594594594595,0.16216216216216214,0.10810810810810813,15.0
